,OTU,Hub Score,ReferenceStatus,Level,Primer
1,557b680e5c34dc1e70e61492f700114c,1,physeq_Reference,Family,asv16S
2,9deb6cfed7ac471913547bf8471cd67f,0.796274225,physeq_Reference,Family,asv16S
3,b85694e203221238c56db8f2d7d46ea9,0.579206549,physeq_Reference,Family,asv16S
4,70473fcd108246a3bafe131589ef1f79,0.564052136,physeq_Reference,Family,asv16S
5,e10e6d54805f89f28024cb8a91d2d484,0.256000803,physeq_Reference,Family,asv16S
6,54a359219fcb99fcf224ce428621d805,0.230896262,physeq_Reference,Family,asv16S
7,da88efad96da485444adfe714e2d2672,0.220438638,physeq_Reference,Family,asv16S
8,a78a3b858874fe1776433ee1e4e00f48,0.156468032,physeq_Reference,Family,asv16S
9,143c5a55da917aa9e88494806170429b,0.147810551,physeq_Reference,Family,asv16S
10,7698239aa91b77bb25220d43a4d345e4,0.104042627,physeq_Reference,Family,asv16S
11,557b680e5c34dc1e70e61492f700114c,1,physeq_Intermediate,Family,asv16S
12,b85694e203221238c56db8f2d7d46ea9,0.85344404,physeq_Intermediate,Family,asv16S
13,e10e6d54805f89f28024cb8a91d2d484,0.566521373,physeq_Intermediate,Family,asv16S
14,54a359219fcb99fcf224ce428621d805,0.33282774,physeq_Intermediate,Family,asv16S
15,80d8805671af5fbc367d4ec6edcfef3e,0.167149087,physeq_Intermediate,Family,asv16S
16,da88efad96da485444adfe714e2d2672,0.087343501,physeq_Intermediate,Family,asv16S
17,70473fcd108246a3bafe131589ef1f79,0.086961683,physeq_Intermediate,Family,asv16S
18,95abc4224fb07a28d7990bd1dc213ebd,0,physeq_Intermediate,Family,asv16S
19,808b84b42758768d540a7f9ca1e2896d,0,physeq_Intermediate,Family,asv16S
20,143c5a55da917aa9e88494806170429b,0,physeq_Intermediate,Family,asv16S
21,f2b6b3a47a58b4765bd0ccadc9605f74,1,physeq_Stressed,Family,asv16S
22,80d8805671af5fbc367d4ec6edcfef3e,0.828707853,physeq_Stressed,Family,asv16S
23,143c5a55da917aa9e88494806170429b,0.629095137,physeq_Stressed,Family,asv16S
24,ae87f76694889584b75ee6dac1e92267,0.623765344,physeq_Stressed,Family,asv16S
25,9deb6cfed7ac471913547bf8471cd67f,0.611149514,physeq_Stressed,Family,asv16S
26,70473fcd108246a3bafe131589ef1f79,0.588037385,physeq_Stressed,Family,asv16S
27,e10e6d54805f89f28024cb8a91d2d484,0.570142497,physeq_Stressed,Family,asv16S
28,a78a3b858874fe1776433ee1e4e00f48,0.235509162,physeq_Stressed,Family,asv16S
29,808b84b42758768d540a7f9ca1e2896d,0.173961357,physeq_Stressed,Family,asv16S
30,a5fbc4db2b6eb07de918a9198bafa217,0.15439937,physeq_Stressed,Family,asv16S
31,ffe9acf8331163fafec12ef7c4629822,1,physeq_Reference,Genus,asv16S
32,6c100cb7a04301b5642e5ba34144e9c9,0.974022236,physeq_Reference,Genus,asv16S
33,4be93e085d17bed29155b27bfc5cda4d,0.932290658,physeq_Reference,Genus,asv16S
34,557b680e5c34dc1e70e61492f700114c,0.898127759,physeq_Reference,Genus,asv16S
35,a0706ffacb375b7c09f5d69625debe4d,0.853883366,physeq_Reference,Genus,asv16S
36,4fe0f784e3bb1afeb5c1f7a2e3e8bd5a,0.809559951,physeq_Reference,Genus,asv16S
37,dd25b975148e5aa51ca36fb002f7da5e,0.78008263,physeq_Reference,Genus,asv16S
38,21cd7b6ee130d2c06112d1f71c896c73,0.559457538,physeq_Reference,Genus,asv16S
39,d4a890f01420c095c9d7526a86bb91e9,0.311869932,physeq_Reference,Genus,asv16S
40,26b2f3548c7b7c3ef91b7ad1ae8916a8,0.311869932,physeq_Reference,Genus,asv16S
41,6c100cb7a04301b5642e5ba34144e9c9,1,physeq_Intermediate,Genus,asv16S
42,edd9d9c38f84b492ea175d40df196ee4,0.960341366,physeq_Intermediate,Genus,asv16S
43,557b680e5c34dc1e70e61492f700114c,0.933186891,physeq_Intermediate,Genus,asv16S
44,a28dc9db2c041afb18386efbf5433ec2,0.889412573,physeq_Intermediate,Genus,asv16S
45,8af9bfcf998d0dc5e3fa7c781d338807,0.855845048,physeq_Intermediate,Genus,asv16S
46,27f79d097fcf198145fb9418bdcb2cb4,0.557428363,physeq_Intermediate,Genus,asv16S
47,a04a7056c51fcc69430e561a4c6d9355,0.299549471,physeq_Intermediate,Genus,asv16S
48,d88acbd2248eb9c77607cefa5e82bbbb,0.299549471,physeq_Intermediate,Genus,asv16S
49,51c36e61630f140748f82fc68cb7e8de,0.299549471,physeq_Intermediate,Genus,asv16S
50,986b7f2e20bd0f26c60559f43d0dc740,0.299549471,physeq_Intermediate,Genus,asv16S
51,ae87f76694889584b75ee6dac1e92267,1,physeq_Stressed,Genus,asv16S
52,f2b6b3a47a58b4765bd0ccadc9605f74,0.965956608,physeq_Stressed,Genus,asv16S
53,80d8805671af5fbc367d4ec6edcfef3e,0.92522738,physeq_Stressed,Genus,asv16S
54,fa040b3053314acb4019f39de0ff8da8,0.887004222,physeq_Stressed,Genus,asv16S
55,4fe0f784e3bb1afeb5c1f7a2e3e8bd5a,0.853408317,physeq_Stressed,Genus,asv16S
56,143c5a55da917aa9e88494806170429b,0.821522546,physeq_Stressed,Genus,asv16S
57,2dc4a6515505e271deaa2c9bbdcde76a,0.791290399,physeq_Stressed,Genus,asv16S
58,a28dc9db2c041afb18386efbf5433ec2,0.559262484,physeq_Stressed,Genus,asv16S
59,c19cf97a7c3eacfff87ecbf99f5d9f51,0.31164688,physeq_Stressed,Genus,asv16S
60,875c8a61df8cb80948c85eb71de14428,0.31164688,physeq_Stressed,Genus,asv16S
61,4228a2729463558c7977d5f8cfa3961d,1,physeq_Reference,Family,asv18S
62,56f2fe2b0ea820ff5e36730c3d37bf81,0.998221749,physeq_Reference,Family,asv18S
63,dccf6afcc1b3d963eb6d9c111d141edf,0.956631945,physeq_Reference,Family,asv18S
64,2e4b944c8dd8961604876e691e9d34ac,0.922251819,physeq_Reference,Family,asv18S
65,b84c5ec3426a374b84ad699db5a901a5,0.872361296,physeq_Reference,Family,asv18S
66,0f760d48bcf7fdebbea8b1f2a61fdfe1,0.840367155,physeq_Reference,Family,asv18S
67,c89589cfd5d133431d2e889061b29519,0.800444236,physeq_Reference,Family,asv18S
68,465f45911db874577a7505858b70ba76,0.756814407,physeq_Reference,Family,asv18S
69,95350980001c9a14bfa820d6ebc8e6ea,0.733245745,physeq_Reference,Family,asv18S
70,e13ae11a6b7a57bef669299dd5b5bcf7,0.707079073,physeq_Reference,Family,asv18S
71,061a0e1c9b538072e6a963975a69c7f4,1,physeq_Intermediate,Family,asv18S
72,2f5d408bc26eaeaa9171e7be1d95957b,0.974884998,physeq_Intermediate,Family,asv18S
73,78b95305c1d4cb35c3c15464b87337c6,0.932419224,physeq_Intermediate,Family,asv18S
74,465f45911db874577a7505858b70ba76,0.893610845,physeq_Intermediate,Family,asv18S
75,e7c472bb329116603bfa0eebda243a75,0.856079726,physeq_Intermediate,Family,asv18S
76,80f4f88e42b45aa39618b712b44b1c32,0.81531261,physeq_Intermediate,Family,asv18S
77,349b87e3062d962d130c57ba77adbf75,0.784290767,physeq_Intermediate,Family,asv18S
78,b9e3ec8de80dc67b720f3daea584feff,0.74817486,physeq_Intermediate,Family,asv18S
79,c86a425904f980f47cc6362f85854169,0.716566447,physeq_Intermediate,Family,asv18S
80,fffe8f957361f1b7ccafa3770b44abbc,0.679667697,physeq_Intermediate,Family,asv18S
81,5cf21ff52910b5faf68983b2cf610959,1,physeq_Stressed,Family,asv18S
82,dd6a57450f46cad1a377f0a1645410d6,0.961814729,physeq_Stressed,Family,asv18S
83,9117049f366f944971be8da6ae58342b,0.914795655,physeq_Stressed,Family,asv18S
84,14f6abf58d6c3ecc611ccf4b897370fd,0.873960751,physeq_Stressed,Family,asv18S
85,e2f6bdf042a04b3bf678e10039c5e779,0.828718066,physeq_Stressed,Family,asv18S
86,4275737b298185b0106cafcd01e05d7b,0.790090735,physeq_Stressed,Family,asv18S
87,481a26cba24f38ff46ba78cc9a516c17,0.755540819,physeq_Stressed,Family,asv18S
88,80c1afaede93dcf53cfad31a94253bb4,0.721867686,physeq_Stressed,Family,asv18S
89,967442294958cd34472055a8b6600392,0.689562708,physeq_Stressed,Family,asv18S
90,bfcf7ac3dff891ff948a31decc176304,0.656819128,physeq_Stressed,Family,asv18S
91,40109e1aaaa3f737c2faa933fcf0b20a,1,physeq_Reference,Genus,asv18S
92,935d45b69ce6558b28fdd28d6dbe47ce,0.957701017,physeq_Reference,Genus,asv18S
93,e446c88257d61be230cd910113161fb0,0.908437872,physeq_Reference,Genus,asv18S
94,3869d8ffa0ac1427ae33c17e938d69ab,0.863341387,physeq_Reference,Genus,asv18S
95,621f57c1d32fc4a8298c30eb2dffe1b1,0.82013894,physeq_Reference,Genus,asv18S
96,4228a2729463558c7977d5f8cfa3961d,0.781982332,physeq_Reference,Genus,asv18S
97,eb5d4e40a14c7bdeca9f1715768d0782,0.744689747,physeq_Reference,Genus,asv18S
98,56f2fe2b0ea820ff5e36730c3d37bf81,0.707175953,physeq_Reference,Genus,asv18S
99,c016927d0564ab67d70b2c99f9823f45,0.671713808,physeq_Reference,Genus,asv18S
100,9f48c3d4802651be53258b7f140df5b8,0.64008853,physeq_Reference,Genus,asv18S
101,14f6abf58d6c3ecc611ccf4b897370fd,1,physeq_Intermediate,Genus,asv18S
102,e405bd2bfe51474c7f3ab8c00dcc81c0,0.952362288,physeq_Intermediate,Genus,asv18S
103,c016927d0564ab67d70b2c99f9823f45,0.904691866,physeq_Intermediate,Genus,asv18S
104,bfc35eac7da75139743a49d0266083f4,0.859685606,physeq_Intermediate,Genus,asv18S
105,1a26981c613be2d6fe14cd30152db44c,0.818563935,physeq_Intermediate,Genus,asv18S
106,9f9e8bce582ab7848219d4f7cb3db83a,0.777077259,physeq_Intermediate,Genus,asv18S
107,367eddd3e1e3e56a2a9231e2d1a51c56,0.73923154,physeq_Intermediate,Genus,asv18S
108,967442294958cd34472055a8b6600392,0.70354942,physeq_Intermediate,Genus,asv18S
109,1c05989f8e4826c660a7deea25aeda85,0.670956398,physeq_Intermediate,Genus,asv18S
110,94936e267fae3eca0d71ce434d6eeb4f,0.637752707,physeq_Intermediate,Genus,asv18S
111,d7aa34b3249fa3da0a5c2229880d0d33,1,physeq_Stressed,Genus,asv18S
112,5cf21ff52910b5faf68983b2cf610959,0.947772002,physeq_Stressed,Genus,asv18S
113,dd6a57450f46cad1a377f0a1645410d6,0.899022534,physeq_Stressed,Genus,asv18S
114,9117049f366f944971be8da6ae58342b,0.852498452,physeq_Stressed,Genus,asv18S
115,3869d8ffa0ac1427ae33c17e938d69ab,0.809361665,physeq_Stressed,Genus,asv18S
116,14f6abf58d6c3ecc611ccf4b897370fd,0.767380034,physeq_Stressed,Genus,asv18S
117,b2fac275e410e2891e709a60c5a1d543,0.72571818,physeq_Stressed,Genus,asv18S
118,9c74934e9a8ee25d617b96ebd393bdfe,0.690472041,physeq_Stressed,Genus,asv18S
119,b8ab8d54bacc735047b9e9870bb64a22,0.656056023,physeq_Stressed,Genus,asv18S
120,e2f6bdf042a04b3bf678e10039c5e779,0.62391159,physeq_Stressed,Genus,asv18S
121,2087a061710ed0255c6f138087290877,1,physeq_Reference,Family,asvrbcL
122,7043fbaffb5626baf49446d42f7ab0ae,0.720218318,physeq_Reference,Family,asvrbcL
123,bcc3d78427272d3b8b2e4ac75b391718,0.610178901,physeq_Reference,Family,asvrbcL
124,59de14f821d0832b3458c9d19f1b5d68,0.591271243,physeq_Reference,Family,asvrbcL
125,86f4c2f5d66482aec7634ce5548f70b1,0.575114826,physeq_Reference,Family,asvrbcL
126,d7b8eb88a916382d2e3bd09b457eaaae,0.562006254,physeq_Reference,Family,asvrbcL
127,e780d63916abce2c35cad193ab1282f0,0.549533461,physeq_Reference,Family,asvrbcL
128,6728440a8dcc5538dd5357516f3d4abe,0.532531767,physeq_Reference,Family,asvrbcL
129,6b7e939a42461ce8303e2de0d164349d,0.27004708,physeq_Reference,Family,asvrbcL
130,dac11fd3ef03e2ec835d24cba347d311,0.183852357,physeq_Reference,Family,asvrbcL
131,2087a061710ed0255c6f138087290877,1,physeq_Intermediate,Family,asvrbcL
132,15ffc534fffad9709650db9da6b6e9c6,0.982207711,physeq_Intermediate,Family,asvrbcL
133,e780d63916abce2c35cad193ab1282f0,0.844706138,physeq_Intermediate,Family,asvrbcL
134,6728440a8dcc5538dd5357516f3d4abe,0.429914298,physeq_Intermediate,Family,asvrbcL
135,6b7e939a42461ce8303e2de0d164349d,0.429914298,physeq_Intermediate,Family,asvrbcL
136,8beabc7c907042baa2e14886cd067a62,1,physeq_Stressed,Family,asvrbcL
137,45ecea381ab78339fea2bd0322970876,0.833286555,physeq_Stressed,Family,asvrbcL
138,6b7e939a42461ce8303e2de0d164349d,0.557584591,physeq_Stressed,Family,asvrbcL
139,6728440a8dcc5538dd5357516f3d4abe,0.324230111,physeq_Stressed,Family,asvrbcL
140,e780d63916abce2c35cad193ab1282f0,0.245940305,physeq_Stressed,Family,asvrbcL
141,cabb39db9487071e655fbfe316aa5466,0.208276115,physeq_Stressed,Family,asvrbcL
142,8cbf131616f5c0e2448e9b35a7cfe6f4,0.108527748,physeq_Stressed,Family,asvrbcL
143,6d2d5327b323de03b7b570f14042dad7,0.085698331,physeq_Stressed,Family,asvrbcL
144,d7b8eb88a916382d2e3bd09b457eaaae,0.069011275,physeq_Stressed,Family,asvrbcL
145,77e8597e73b47305f77e2004bd65da3f,0.059860334,physeq_Stressed,Family,asvrbcL
146,2087a061710ed0255c6f138087290877,1,physeq_Reference,Genus,asvrbcL
147,dac11fd3ef03e2ec835d24cba347d311,0.947694611,physeq_Reference,Genus,asvrbcL
148,c906f21ea36d2eb012ab194788f554c4,0.938384688,physeq_Reference,Genus,asvrbcL
149,7043fbaffb5626baf49446d42f7ab0ae,0.894794125,physeq_Reference,Genus,asvrbcL
150,98f12749425ae7d8de4357d2a2010f31,0.860059081,physeq_Reference,Genus,asvrbcL
151,bcc3d78427272d3b8b2e4ac75b391718,0.825659736,physeq_Reference,Genus,asvrbcL
152,59de14f821d0832b3458c9d19f1b5d68,0.793627867,physeq_Reference,Genus,asvrbcL
153,4720c6ecbf93d34c6962a9ea9d99e5d6,0.762520318,physeq_Reference,Genus,asvrbcL
154,b9a0eab94ae99186a702124ad7717d3e,0.731236265,physeq_Reference,Genus,asvrbcL
155,1b132010b2bd5eb3f998f7a1fb6e01af,0.714010969,physeq_Reference,Genus,asvrbcL
156,a887b874d86c58c72d480331f3654d72,1,physeq_Intermediate,Genus,asvrbcL
157,3c21ecd98860a85e3841b52d68751186,0.882819355,physeq_Intermediate,Genus,asvrbcL
158,59de14f821d0832b3458c9d19f1b5d68,0.382812619,physeq_Intermediate,Genus,asvrbcL
159,a558de54bfbf9928521a77a81ebc505b,0.248712714,physeq_Intermediate,Genus,asvrbcL
160,f1f812f1b8db6089ef3cdd144c05e5a7,0.027870705,physeq_Intermediate,Genus,asvrbcL
161,bcc3d78427272d3b8b2e4ac75b391718,0.01077911,physeq_Intermediate,Genus,asvrbcL
162,7043fbaffb5626baf49446d42f7ab0ae,0.006943944,physeq_Intermediate,Genus,asvrbcL
163,7e343a8bdb7a576a0893634b20ac7e54,0.006278622,physeq_Intermediate,Genus,asvrbcL
164,c906f21ea36d2eb012ab194788f554c4,0.002308114,physeq_Intermediate,Genus,asvrbcL
165,86f4c2f5d66482aec7634ce5548f70b1,0.001425645,physeq_Intermediate,Genus,asvrbcL
166,4b2d5eb1219d70b15c348d1326ff1180,1,physeq_Stressed,Genus,asvrbcL
167,ac4fcb28c1938902c9941c8404c9666b,0.993694476,physeq_Stressed,Genus,asvrbcL
168,8beabc7c907042baa2e14886cd067a62,0.963655121,physeq_Stressed,Genus,asvrbcL
169,e3bf568ed60adfb999d47f61cb32b9bb,0.929036589,physeq_Stressed,Genus,asvrbcL
170,d76709bbe40acd2bf4a09ee227a9b985,0.885068214,physeq_Stressed,Genus,asvrbcL
171,43322c98de914b5bf03c60dd2fc1920d,0.857058251,physeq_Stressed,Genus,asvrbcL
172,7fe9736438c797e55c849d902d1bea2b,0.824817163,physeq_Stressed,Genus,asvrbcL
173,45ecea381ab78339fea2bd0322970876,0.792758182,physeq_Stressed,Genus,asvrbcL
174,e0dd378760f04f918c40c280d41a3768,0.761543325,physeq_Stressed,Genus,asvrbcL
175,3c21ecd98860a85e3841b52d68751186,0.722668622,physeq_Stressed,Genus,asvrbcL
176,dac11fd3ef03e2ec835d24cba347d311,1,physeq_Reference,Species,asvrbcL
177,7feade302d166f355b070509287a3da9,0.97282518,physeq_Reference,Species,asvrbcL
178,ad9590331e0cb0d2e0ec13e6c6b6574e,0.93966687,physeq_Reference,Species,asvrbcL
179,2087a061710ed0255c6f138087290877,0.901321532,physeq_Reference,Species,asvrbcL
180,c906f21ea36d2eb012ab194788f554c4,0.872439417,physeq_Reference,Species,asvrbcL
181,7043fbaffb5626baf49446d42f7ab0ae,0.842066446,physeq_Reference,Species,asvrbcL
182,8415aeb1eeb1527d8c366564607619a1,0.812475424,physeq_Reference,Species,asvrbcL
183,98f12749425ae7d8de4357d2a2010f31,0.77754751,physeq_Reference,Species,asvrbcL
184,49ade4fbe7ecdb1f8ba12c9b1485fc83,0.759061088,physeq_Reference,Species,asvrbcL
185,29a6d65af018fe80bd09564b361cab29,0.735657591,physeq_Reference,Species,asvrbcL
186,a29f3fed2a82dce650780e3a1b0546aa,1,physeq_Intermediate,Species,asvrbcL
187,7203cc2574c24ff0eba702fe92c296f4,0.797580245,physeq_Intermediate,Species,asvrbcL
188,4b2d5eb1219d70b15c348d1326ff1180,0.519565236,physeq_Intermediate,Species,asvrbcL
189,39dc843b53db47c25ef8aa1600b06b25,0.503942161,physeq_Intermediate,Species,asvrbcL
190,bf5694f1085cae1759bd46da6fb5de73,0.492046866,physeq_Intermediate,Species,asvrbcL
191,2087a061710ed0255c6f138087290877,0.491040056,physeq_Intermediate,Species,asvrbcL
192,e0dd378760f04f918c40c280d41a3768,0.484462325,physeq_Intermediate,Species,asvrbcL
193,150b7cdae4e5cfdcd729f7d79749d482,0.17598916,physeq_Intermediate,Species,asvrbcL
194,59de14f821d0832b3458c9d19f1b5d68,0.16132368,physeq_Intermediate,Species,asvrbcL
195,8391b42364e290ccc2f5624a56178d8e,0.123263101,physeq_Intermediate,Species,asvrbcL
196,ede56341d27ecdc0b0494e06d9029e1a,1,physeq_Stressed,Species,asvrbcL
197,d5952471c036cda2bae26c35d43d2e57,0.961881081,physeq_Stressed,Species,asvrbcL
198,2695e2676586ca89fea74a15c40a8c40,0.332897964,physeq_Stressed,Species,asvrbcL
199,2a16b66326d8d3609e06b990decfa3c1,0.282927277,physeq_Stressed,Species,asvrbcL
200,a8cc3da0226d7d90df1791015ad422a3,0.249931833,physeq_Stressed,Species,asvrbcL
201,47e727f7701a6ff4acb562cf61cbdd0c,0.248596103,physeq_Stressed,Species,asvrbcL
202,6213baeec5be8acaf8a97d2576103d9c,0.188772189,physeq_Stressed,Species,asvrbcL
203,390b2aba5ada163ecd86e35279442da5,0.145256443,physeq_Stressed,Species,asvrbcL
204,29392ad0d83c08c70bc2a24367e33a6b,0.131226057,physeq_Stressed,Species,asvrbcL
205,4f1c63f89bc9d180158e8a480409ca44,0.121421428,physeq_Stressed,Species,asvrbcL
206,0911bb6e9f4a7c8bb4d1f3a392b52139,1,physeq_Reference,Species,asv18S
207,40109e1aaaa3f737c2faa933fcf0b20a,0.648061627,physeq_Reference,Species,asv18S
208,935d45b69ce6558b28fdd28d6dbe47ce,0.551241262,physeq_Reference,Species,asv18S
209,1b4b8824c897af2fe7b8d75a30b56cfc,0.535017974,physeq_Reference,Species,asv18S
210,110ad84d1e45addf66863ec06cf120dc,0.519669077,physeq_Reference,Species,asv18S
211,e446c88257d61be230cd910113161fb0,0.501914899,physeq_Reference,Species,asv18S
212,dbc1082a874a94772a2a0c3e344035dc,0.488448479,physeq_Reference,Species,asv18S
213,513778084430398befe862f400e8f3f0,0.47963487,physeq_Reference,Species,asv18S
214,1f079d7b67ef5c3d37d812f0e7e70e06,0.459617942,physeq_Reference,Species,asv18S
215,3869d8ffa0ac1427ae33c17e938d69ab,0.453548703,physeq_Reference,Species,asv18S
216,110ad84d1e45addf66863ec06cf120dc,1,physeq_Intermediate,Species,asv18S
217,c8080e289c7ea45342712bf3a64bdaea,0.842320514,physeq_Intermediate,Species,asv18S
218,122d5fca6f1a00caa9fffb252705f14f,0.524858163,physeq_Intermediate,Species,asv18S
219,1f826ba90f5806534b71e997883cdef8,0.197089556,physeq_Intermediate,Species,asv18S
220,b2fac275e410e2891e709a60c5a1d543,0.194355625,physeq_Intermediate,Species,asv18S
221,9bee6ad0b890af5c45bb9afd88d25d89,0.19146663,physeq_Intermediate,Species,asv18S
222,9822a8787cce09b0e4e31e64201945b8,0.137984675,physeq_Intermediate,Species,asv18S
223,fd37e951fa4a636d5df3af057baf9f5b,0.093333947,physeq_Intermediate,Species,asv18S
224,fae1404061c835d134ada436011790ba,0.077886329,physeq_Intermediate,Species,asv18S
225,cb869912ad70744600b369994f683653,0.045716808,physeq_Intermediate,Species,asv18S
226,2e18592fe68676b279827ab97e96b92f,1,physeq_Stressed,Species,asv18S
227,c766e28c8b9f551c0464fc73c5cba8eb,0.947167519,physeq_Stressed,Species,asv18S
228,b3c0cc91bcfc16ad7c101204c16ec57c,0.340912219,physeq_Stressed,Species,asv18S
229,5304ae14f76c2d3a3010108cedb55b7a,0.30410204,physeq_Stressed,Species,asv18S
230,9bee6ad0b890af5c45bb9afd88d25d89,0.278605476,physeq_Stressed,Species,asv18S
231,f70e24b2925897ab13900ee3a412fb97,0.185637026,physeq_Stressed,Species,asv18S
232,13bfd52454f5d5e6ae991858cb5958ef,0.073284116,physeq_Stressed,Species,asv18S
233,80dddae4f872f22af24446179d911208,0.063568313,physeq_Stressed,Species,asv18S
234,9872b09eee8d9c0ef23c9bc9337cdccc,0.057565192,physeq_Stressed,Species,asv18S
235,d7aa34b3249fa3da0a5c2229880d0d33,0.044769011,physeq_Stressed,Species,asv18S
236,7b74762f1d55d8a488ff65bba03a3617,1,physeq_Reference,Species,asv16S
237,ffe9acf8331163fafec12ef7c4629822,0.80063224,physeq_Reference,Species,asv16S
238,a61dc6f3c78e07d92bad5c961340cec9,0.508076027,physeq_Reference,Species,asv16S
239,edd9d9c38f84b492ea175d40df196ee4,0.296265941,physeq_Reference,Species,asv16S
240,54a359219fcb99fcf224ce428621d805,0.287760498,physeq_Reference,Species,asv16S
241,7698239aa91b77bb25220d43a4d345e4,0.212718837,physeq_Reference,Species,asv16S
242,99f7e8b12216db7ba1db8920af194ac9,0.195789615,physeq_Reference,Species,asv16S
243,ae87f76694889584b75ee6dac1e92267,0.175866331,physeq_Reference,Species,asv16S
244,b47688ff6e4bb76265ddc6d733471df5,0.166636918,physeq_Reference,Species,asv16S
245,a2c71b43b9df48fb274e52fb0d23ee21,0.063437431,physeq_Reference,Species,asv16S
246,edd9d9c38f84b492ea175d40df196ee4,1,physeq_Intermediate,Species,asv16S
247,7b74762f1d55d8a488ff65bba03a3617,0.844314577,physeq_Intermediate,Species,asv16S
248,a61dc6f3c78e07d92bad5c961340cec9,0.549665738,physeq_Intermediate,Species,asv16S
249,54a359219fcb99fcf224ce428621d805,0.341418261,physeq_Intermediate,Species,asv16S
250,a2c71b43b9df48fb274e52fb0d23ee21,0.169030905,physeq_Intermediate,Species,asv16S
251,b47688ff6e4bb76265ddc6d733471df5,0.146814014,physeq_Intermediate,Species,asv16S
252,99f7e8b12216db7ba1db8920af194ac9,0.04313728,physeq_Intermediate,Species,asv16S
253,2b6763c13bceee678e885a43c7733962,0.027170815,physeq_Intermediate,Species,asv16S
254,7bc2aef06f79fa91db762f8b7c1f7e04,0.003935145,physeq_Intermediate,Species,asv16S
255,b26520dd2e99bd3c7bff3aa35872e189,0.002246388,physeq_Intermediate,Species,asv16S
256,15c1c3c6b3755a72c95a9cdc9ec5ad28,1,physeq_Stressed,Species,asv16S
257,7bc2aef06f79fa91db762f8b7c1f7e04,0.858230162,physeq_Stressed,Species,asv16S
258,ae87f76694889584b75ee6dac1e92267,0.594114381,physeq_Stressed,Species,asv16S
259,3f2c25846819535f96bbe254f03bc79d,0.591124656,physeq_Stressed,Species,asv16S
260,2b6763c13bceee678e885a43c7733962,0.58054861,physeq_Stressed,Species,asv16S
261,f2b6b3a47a58b4765bd0ccadc9605f74,0.570422944,physeq_Stressed,Species,asv16S
262,4ff071500920dd53a0a8b820cedc2b19,0.099733562,physeq_Stressed,Species,asv16S
263,b7ccde1599e7fd17c335ea4680f574e2,0.093457377,physeq_Stressed,Species,asv16S
264,28e260728976404c3e3e1ef2357c68a6,0.004591925,physeq_Stressed,Species,asv16S
265,65c869a5a2a86bf0cf1f1ed5f4c948bd,7.11E-16,physeq_Stressed,Species,asv16S